number_of_objects,number_of_features,number_of_classes,class_entropy,mean_correlation,mean_kurtosis,mean_skewness,mean_intra_class_variance,min_intra_class_variance,max_intra_class_variance,mean_intra_class_distance,min_intra_class_distance,mean_inter_class_distance,min_inter_class_distance,max_inter_class_distance,tree_dev_attr,tree_dev_branch,tree_dev_level,tree_height,tree_max_attr,tree_max_level,tree_mean_branch,tree_mean_level,tree_node_number,tree_width,tree_dev_class,tree_max_class,tree_min_class,tree_mean_class,tree_mean_attr
9.306780460202598E-6,5.207385981926906E-7,-8.391073498867013E-7,-2.7193494876267135E-7,8.686481386852958E-7,-3.912761950124739E-6,3.4482153572712725E-6,-2.0058425215061288E-6,-1.0080346343427512E-6,1.636831063508065E-7,1.7294143856357087E-6,-2.3960395755112632E-5,-2.4241564460269484E-5,-3.4648483579904198E-6,-6.186861118689701E-7,2.0864640441920934E-6,3.5048995865887015E-6,-4.312427274439109E-5,-1.246520000226946E-5,3.0390761978437834E-5,-5.0664635168159024E-5,-4.5609322843896334E-5,-8.409802765831773E-5,-9.262678089259907E-5,-3.317629208275917E-5,1.0499894749229334E-5,-5.525724732386876E-5,3.118743597211847E-5,6.374092851262614E-5,1.1022861039163238E-4
8.333954237919585E-22,1.3152654958933525E-4,3.2046383526092822E-6,-5.493786177729623E-6,2.9221582506475013E-6,-5.266687732760087E-6,-6.796117235556318E-6,-2.068941841327239E-5,1.7807157050622535E-5,6.3575103511144135E-6,5.287106446164192E-6,-1.0460364304842196E-5,-5.918316695644273E-7,2.626149839086666E-6,-9.978481981957277E-6,1.1659883958830439E-5,-3.233106122436615E-5,-8.02986299779911E-6,1.4647232450008768E-5,1.7251070901702476E-5,-1.8391957942925796E-5,1.3713780756707245E-5,-5.750572682947054E-6,-3.8320900718910806E-6,2.685464342151261E-6,-1.5856262528568277E-6,-9.239191276977778E-6,-5.790034614599502E-6,9.829346274951272E-6,-5.731805560384237E-6
-2.2407780926381285E-19,-1.4129879827376005E-20,0.009806078928159895,0.007985152299151867,-4.7251348143365735E-4,5.427838564528124E-4,6.665180198995964E-4,-5.912811167245194E-4,-0.0022813425764793643,0.002619197940447766,-1.0734835805599588E-4,5.212862177045805E-4,-5.3247572507327E-4,-3.684130552639299E-4,0.02964593807391445,-0.00784083553881177,0.008575293140085082,-0.011812175638100497,-0.004020841434593461,-0.01508366837839649,0.01131275326663287,0.008760304228027335,-0.013749546054298104,0.012647511431188647,-0.0029571502910496978,0.00869225522454201,0.019095256168616043,0.013308679930732557,0.002052559157803845,0.050463220545031204
7.808016340097737E-17,3.2691605076696053E-18,4.8587449213134107E-17,1.3293164101558836,0.10388685273533402,0.008515586735137514,0.4359332197903014,-0.5486543842681111,-0.37439280408636627,0.3517446265246661,0.07662894919925467,-0.6091499142236202,-0.248620172700972,0.369173052036364,0.46847219025997333,0.22139660441108608,0.12989343876412607,0.1390996003037994,0.46675487367053153,-0.11981465308604211,0.3523732544330468,-0.26476350110810637,0.11678785271444304,-0.12703593101149818,-0.3174978599516964,-0.6783701312916891,0.18029475504335263,0.07096234404956822,0.6524880435149197,0.2666287400712447
2.801684525610092E-16,1.1312574657625632E-17,1.239477588623795E-16,9.597476584543911E-17,7.407942813716924,-0.5103352792744767,1.4757959651025478,0.8918570165077251,-1.5128733042164992,-0.8633007902974583,0.790646169495743,-1.1128928103954225,0.7345497162601983,0.42384695922491555,-0.40400055798646634,0.4899617488912785,-0.5772602711489361,0.3008219370600197,-1.5820343383420679,0.8440461088685512,-0.7878631666902216,-1.9701888626289759,0.31957624345263946,-0.09055470611594435,0.26955593379437015,-0.7373200299192479,-0.6142956201027663,-1.1667275696689416,1.3010864493505305,-0.06410472288552618
-6.24183297675088E-19,-2.5408520044569294E-20,1.0805578880354942E-19,-1.0811418765114527E-19,-6.772232170304253E-20,0.001721297885461977,-0.002245297640335028,4.1560981307446805E-4,5.2146470142301756E-5,-2.1960376045994034E-4,-0.0012080318579186745,0.003392748811666347,-0.0017165481483026844,9.641132652677935E-5,0.0036936349747738284,-0.0015997034150808495,0.002180157688910751,3.482868514690478E-4,-0.0011659273985471573,-0.00419451117647803,6.75572538651276E-4,0.0028345914202700705,-5.221292036982914E-4,8.37772700770653E-4,4.6537468767131616E-4,0.0017703036893378027,0.003158059047657283,0.0012656035286503801,-0.0020647509647509226,0.002546355748054361
4.319206185770167E-17,1.2871778636891436E-18,4.264448933118603E-19,-1.2415686449095249E-18,4.235348423348385E-18,-5.467789703766968E-17,0.21791444233582644,-0.07226715571569325,0.057873611723486706,0.04291951960737957,0.046609157579827656,-0.17266661821051915,0.073266208683048,0.017241413356858814,-0.17748747577261517,0.09026094532624164,-0.1569952299239245,-0.0073684121002063905,0.051037531105844365,0.18979686598281179,-0.026674041811963527,-0.1168509928657809,0.011220118272933361,-0.0032874074677835922,-0.021167216417791818,-0.10572142458883951,-0.13859847531175715,-0.05905337137212045,0.10906374427933266,-0.11728001789965531
-1.3612177964035908E-16,-9.19129931543697E-18,-3.1021412824922687E-17,3.4239997781428307E-17,-2.1559416840380592E-17,1.9087163173034718E-16,-3.799803866156439E-16,5.446528415209473,-4.572216233322369,-6.549114045400509,-0.33763345176538984,1.706504510890019,-0.2933575840367506,-0.4140322908987907,0.5625059929314867,-0.2125496076265106,-0.4391934072905315,0.6628462107112948,-2.264699780753431,-1.4742833429147648,-0.004497102353894389,-1.7480787301366965,-1.5386423504818563,-1.5602323285795257,-0.3886815210263119,2.023433407514506,1.3082487159805067,1.0194208901737443,-1.2341256377434962,2.3175328131578405
2.4637458398705278E-17,1.6959222658848694E-18,-4.3814089349919296E-17,-8.060080712733658E-18,2.1888465865389037E-17,-2.1291874236823363E-16,3.1777797054609964E-16,-1.1660460416281305E-16,4.612724669580526,1.3533415495268384,-0.12314718693089823,-0.394363312367082,0.3581158871238797,-0.35327965025325014,-0.8399671676664686,-0.6512983910517354,0.6473450410424754,-0.6860612237942544,-0.3168984041378405,1.5956865461007803,-1.0335208360968917,0.37654339657593916,-0.45324023809994185,0.41793751836499127,-0.20694772676817597,-0.7416147899354668,-1.3173700453235486,-1.8342531081158409,0.9614789603919156,-1.634009158796817
-7.704321665164606E-17,-5.1977955886003395E-18,8.843271791956114E-17,6.360198376027875E-17,3.2156166005117695E-17,-2.6525493250248864E-17,-1.2134048680219246E-17,-3.3025804693229794E-17,1.0658235667208117E-18,11.78864369158265,0.26209077501577416,-0.7787823828366248,0.8104201818556435,-0.1517344309792869,0.21874560093468653,-0.1640043879252886,0.030936898138169643,0.0959634311464148,1.3232825441004246,0.16858251477061298,0.8850454567468916,1.7738055438622375,1.7850049843495288,2.203775658096,0.21649637369682956,-1.2499056647026114,-1.098310691431312,-0.43453920162497506,0.7292485359796848,-1.089800692778346
8.041022734627982E-21,5.415189454426682E-22,2.8685183617949353E-21,-3.1683020889695984E-21,-9.7043847131555E-22,1.7846483438070955E-21,1.8160600522843225E-21,-5.532768607934421E-22,-5.62916909030651E-21,1.833855050186106E-21,6.384958350469069E-9,-7.242438347346328E-5,-6.112084823923932E-5,-9.732510902245202E-6,-6.992512024517323E-7,1.3641059489097666E-5,7.79550729060561E-6,-1.128875297881584E-4,-2.913276772765027E-5,8.173272130480447E-5,-1.2253603059331954E-4,-1.1002082188597876E-4,-1.790797655981659E-4,-2.2712941719839832E-4,-7.796221352908937E-5,1.168188988324944E-5,-1.0079484371172684E-4,4.819945176121495E-5,1.4963464240129535E-4,1.9550693336508126E-4
-5.1799062528917046E-18,-3.4884279751759317E-19,-1.8481278348085032E-18,2.041320630471752E-18,6.252297863521159E-19,-1.1503432429565364E-18,-1.1695980072215674E-18,3.563149618714509E-19,3.626702761848858E-18,-1.1813993984973278E-18,-2.0185126905147656E-18,0.046658200526247987,0.03937892145263551,0.006270169873746431,4.4871310685015947E-4,-0.008788330748990054,-0.005022927150509312,0.07272882850699307,0.0187692566924494,-0.05265656568228833,0.0789425408482681,0.07087963879867733,0.11536962132741216,0.14632710517928474,0.050226673757102366,-0.007527754554729774,0.0649339942932978,-0.031050150075038384,-0.09639328980426427,-0.12595013310259728
1.685906162667225E-26,9.572229814311228E-28,-1.4047056888759305E-24,8.149618420111499E-25,7.110211538750388E-26,-7.606994618457634E-25,1.9589820296476878E-24,-4.578219371625875E-25,-1.1737162997537448E-25,6.164555028290334E-25,1.0372069399590699E-24,5.293955920339377E-23,2.4610739847924384E-10,-3.2499771504051807E-11,-2.7904688963307966E-8,8.832556700673623E-9,-6.180891501742404E-9,7.203232597309618E-9,4.827698521091663E-9,1.3315076476866203E-8,3.0180252862776733E-9,-4.5101332018615946E-9,1.0536200421699184E-8,5.996236542597903E-9,3.2810089315646556E-9,-4.387301720252462E-9,-3.8476161291591365E-9,-8.210484414518827E-9,-4.029432288818298E-9,-2.3082134299240995E-8
0.0,-1.6155871338926322E-27,1.4402959298652816E-24,-8.403072580159053E-25,-6.704686605654424E-26,8.013312184107456E-25,-1.945166909206729E-24,4.636735074271854E-25,2.302211665797001E-25,-5.670710839963139E-25,-1.0194354814862509E-24,-3.437969420923521E-24,-4.3685476100456774E-24,2.6340320948457376E-9,2.8382453917874453E-8,-1.035705494410136E-8,6.5679778970965274E-9,-9.005075907661613E-9,-5.512393972274909E-9,-1.466799377555586E-8,-3.4860741430317236E-9,5.2539431293485E-9,-9.265803158632602E-9,-1.5039347354660297E-9,-2.0978285314385583E-9,-2.498994943552696E-9,5.4129356175694605E-9,6.311758459519449E-9,4.244526180799389E-9,2.1491536263964582E-8
-3.2830610360622506E-27,-6.582508603277308E-28,4.6751402046211265E-25,-2.678620963619962E-25,-2.419257805325882E-26,2.4525129452228656E-25,-6.475983907918393E-25,1.4996729509798821E-25,4.450350122018451E-26,-2.0788398886322354E-25,-3.578748147404048E-25,-4.948758750880825E-24,7.134432783269864E-24,-4.8467614016778965E-25,9.314731864218825E-9,-2.968102229758258E-9,2.0459794383521425E-9,-2.3189246101803437E-9,-1.5841024621248685E-9,-4.528293458763779E-9,-9.93265212712472E-10,1.5508621900126604E-9,-3.5272679624239977E-9,-2.008761383149254E-9,-1.0918240500933894E-9,1.4470155294302361E-9,1.2795925749186678E-9,2.819530495457437E-9,1.5254352766337152E-9,7.806563400771877E-9
-1.5698817179582465E-33,-5.170055460617304E-35,-3.973937202235959E-20,-3.7130410696797593E-19,-3.0637316864544674E-20,2.813695468927951E-18,-1.9570330897692357E-18,-3.696969373663258E-19,5.280630926402064E-19,9.372154241708646E-19,-6.960075515303422E-19,1.935698253786451E-17,-4.332205836025512E-18,9.773071657058948E-19,-1.367698651149968E-20,0.09469482017652835,0.004606049947919466,-0.07028094865972868,-0.006193801097307225,-0.13006652742997643,0.1172151040547916,0.06257025367019164,-0.14603318666850035,-0.09718672399080917,-0.04090942476995391,0.1152566005656006,0.09022291413516273,0.087125320257305,-0.2333710592011368,-0.4976477868064215
2.389154995964733E-33,-6.683968049006209E-34,3.147014128576309E-18,3.2517159788657797E-18,1.8503620770115587E-19,3.440307407622611E-18,-5.853748565810556E-18,4.7836769876717625E-18,-2.165734906639179E-18,-1.8337426324087836E-19,4.568349673494981E-18,-7.588272398786386E-17,4.984586805099991E-17,9.212380139317895E-18,1.0795133619997263E-17,-1.0578733622218257E-16,3.629864145867548,-0.0045276688795242714,-1.8481095018644853,-0.6638966216367936,-0.7437907101407228,-0.8089776305021078,1.841105151337139,1.9848174083624892,1.152226976829652,-0.7009447589921086,1.7674020595700959,-1.4415797160544541,-0.037991364228036284,-2.211216756182743
-5.7323442485417494E-33,4.1765222244109376E-34,-2.501944257389391E-18,-9.738933654605037E-20,-2.0031588951989897E-19,7.595796539534623E-18,5.545471496919791E-18,-1.1194281190688179E-18,4.370812690925261E-18,1.8613231041981107E-18,3.2343192342350428E-18,-1.7108840092292562E-16,2.1600683431323348E-16,-2.6536133284376817E-19,-1.8220513222658342E-18,-1.4431279742540905E-16,7.183497280001755E-18,0.1706260211047222,0.028176205174017727,-0.15245682296581,-2.3013723138187263,-1.0675847675285322,0.6365728453311578,5.183171657717975,1.265324477853979,-1.3087342964661195,-0.49489628978345196,-2.713693683826209,0.8350912429696319,-1.3421322612995836
