number_of_objects,number_of_features,number_of_classes,class_entropy,mean_correlation,mean_kurtosis,mean_skewness,mean_intra_class_variance,min_intra_class_variance,max_intra_class_variance,mean_intra_class_distance,min_intra_class_distance,mean_inter_class_distance,min_inter_class_distance,max_inter_class_distance,tree_dev_attr,tree_dev_branch,tree_dev_level,tree_height,tree_max_attr,tree_max_level,tree_mean_branch,tree_mean_level,tree_node_number,tree_width,tree_dev_class,tree_max_class,tree_min_class,tree_mean_class,tree_mean_attr
8.645928709523741E-6,3.847333904093734E-7,-7.250121806955088E-7,-4.709288087274506E-7,7.215218685557682E-7,-4.992354971252744E-6,2.2093292162713185E-6,-1.2673976091386898E-6,-1.3756747387565932E-6,-1.3848139695797417E-8,-3.70143005291682E-5,5.110158476081393E-5,-3.9825096316589564E-5,-3.634140966485891E-5,-2.9338377636263724E-5,-2.3143876635876204E-5,-8.657605117282569E-6,-1.0576211501498964E-6,-2.130343201393436E-5,-2.41875884694681E-5,-2.8382009264675602E-5,1.5984173655884843E-5,-9.686126638197161E-5,-9.44530654838542E-5,-5.131652986567339E-5,-6.244191186638029E-5,-2.971637437942461E-5,-7.810874604281957E-6,4.952379930343863E-5,1.0674872206522902E-4
0.0,0.0042676850208883,-4.6938970730260653E-4,0.0017008122782380115,2.721022780617696E-4,-0.0011158577472882136,-0.004787352991144782,9.776831493119351E-5,0.0017471575543631856,-3.550064005639862E-4,9.991556253550545E-4,-7.486411670172387E-4,-0.001474067764881374,6.722175856302871E-4,0.0011697668986053395,5.515470913871784E-4,2.2658572647788768E-4,-0.003061788868219735,-0.0020737530580323483,0.0026594947929693196,-0.005984490785937955,0.0016360246079774533,4.2801984973979456E-4,0.001101984909355799,3.842420436089268E-4,-6.958447818845399E-4,0.0010063737895461664,-2.766168712136182E-4,-0.0016527283489247667,0.0059393669761956085
0.0,0.0,0.08090131555664151,0.09122905963694235,0.014239297272526348,0.0014637216505605877,-0.014329355987104709,-0.02419474803684037,-5.521229352904111E-4,-0.009929661882648917,0.011907655120057477,-0.03254972350497709,-0.06209786842423903,-0.06747728718122788,-0.0345121459222843,-0.09655043867299763,0.0012146286324330843,-0.263825365002937,0.04918859455172715,-0.03945400497400519,-0.076819217928744,0.0040120727834312055,0.1540720459761164,0.006108577723235411,-0.05060136635537413,-0.028043752251332675,0.010393147861611393,-0.00726372017621918,0.09343365222164957,-0.015598412166463904
0.0,0.0,-2.1925343515022507E-17,1.9660698838274657,0.32155196534786096,-0.018927148034836732,-0.15153536283924623,-1.0768693494883705,-0.00508189981557793,0.27478900997136313,-0.22400183644658128,-0.07553238329529705,-0.8385943291529967,-0.30920884478407545,-0.02474597669017979,-0.13354707249108208,0.2824418291596578,-1.8314482145270303,0.5746178891116561,-0.16403805076232744,-0.7012918822736401,0.45187511635685385,1.5129034042268978,-0.09529468980640321,-0.4470342344089683,-1.068358610246793,-0.4728854534252669,-0.7448933950873184,0.6046546705397365,-0.4937403259043658
0.0,0.0,-6.418140209156056E-17,-7.338412356088698E-17,7.397826181476322,-1.4640506810971736,0.708213156587734,1.4499087621049098,-1.9779044074848204,-1.7403196568577544,-2.300701168624729,-0.06623715460255891,-0.03872586971803804,-1.4864158284199551,-2.725162538626138,-0.9364412011188195,-0.5367649906009341,0.523446147176853,-0.3746660211150177,1.2855147534999414,-1.379126258367656,1.2982261196366653,-2.16667668049863,1.6522159979720472,0.6041896194400811,0.5132266295469534,1.7470432867620775,1.2519379323118902,0.8868384858921999,2.3953276391107554
0.0,0.0,4.2441213613642363E-19,1.0598112046251387E-18,1.8642647966362478E-19,0.0021011629119026543,-0.0021989417149559064,4.3220132105170573E-4,2.839632341348134E-4,-2.3225133902898977E-4,0.004798144755853794,-1.1540789543058226E-4,0.0015507339443337318,0.0015863617075759242,0.007135650795200949,1.6884407961397725E-4,0.002698471897493682,-0.002478366005670753,-1.7374736176250372E-4,-0.005353911819929933,0.0033805112765639103,0.0010670886230832724,0.004430178990422873,8.246853979494885E-4,6.176527713415103E-4,0.004874498346804536,-4.206278981957554E-4,0.00111765006001564,0.004913174396416388,9.84949613575805E-4
0.0,0.0,-2.1388070103413813E-17,-5.4219319168853545E-17,-5.9019072183401015E-18,4.296901681494837E-17,0.3110459116877193,-0.09416309231135296,0.08503054603065514,0.07178319542245538,-0.1858486723677727,0.018575991216773276,-0.046269467120468935,-0.024451181470315955,-0.27090757891234263,0.042958133620968744,-0.179185017115165,0.1847827197121028,0.06592786445841554,0.13907784342076837,0.004643060707459028,-0.09304251106744697,-0.22218722482371556,-0.04172189954590901,-0.03450765968506169,-0.13864226175513544,-0.020211112617849303,-0.05264109039882017,-0.10973061363839293,-0.19821094587705762
0.0,0.0,5.936326985292948E-17,1.1358492499746804E-15,8.736476217693281E-17,9.838041974853027E-17,1.062914436381403E-16,6.250116526470866,-6.134073342109585,-7.120723365359228,0.359927940655367,-0.004640320269893778,0.6841046194392382,-1.543221720513118,-1.6915328019277434,-2.108651455913135,0.05883634880973009,-0.1784446203929877,-2.1804723751176684,-2.8297334921744794,2.9925118149198644,-0.02930626790802569,-0.07906379125502892,-2.5377445866858492,-0.7887974620472475,0.8072900911735688,1.4433826531026739,1.3032938757903738,-0.5234628636798598,1.74544014975351
0.0,0.0,-7.413496690632276E-17,-3.104166818085778E-16,-9.871133949574972E-17,-5.972849016683914E-19,-1.6233614937832223E-17,3.720523673583006E-17,5.176018514925192,1.584855895200363,0.13948805410744475,-0.19857245671515789,-1.7034417089052938,0.4784075256264714,-0.2717472604782035,-0.11990019936543146,-0.06650417343219721,-0.7992515849300672,0.6148483166233378,1.8336632468147391,-3.020964226168083,-2.0736561985063586,-1.637616290105089,0.5886962655531308,-0.48133590541408533,-0.41934664787868975,-0.2224799839012843,-0.87078386525815,0.336556754569301,-0.7546926761770067
0.0,0.0,1.0019912591335828E-16,-2.479850191137602E-15,1.576810191377223E-17,-1.0078582470455347E-16,9.067154913536131E-17,5.10238903214435E-16,6.3731933564819E-16,13.692820360778974,-0.1044570386862204,0.10465822230421253,4.502446974929078,0.24285916980810504,3.5237033521862173,1.1679205266992165,-1.23843184585254,3.7268873406604217,1.5973400107529783,1.129383869042486,0.7486610899693509,1.4119188232419955,-0.12672072643653376,3.0158107425650895,0.8306485265799451,-1.0517704976350652,-3.415124383714783,-1.3586313265643828,-0.19360661641501117,-2.2096067297519766
