"dataset1","dataset2","distance"
artificial-characters,fars,11.97645370591287
artificial-characters,fashion-mnist,12.080031540332202
artificial-characters,gas-drift-different-concentrations,10.12114728700521
artificial-characters,gas-drift,10.271867677969395
artificial-characters,gina_prior2,11.037335034452099
artificial-characters,glass,8.7427414578494
artificial-characters,har,10.807139783487562
artificial-characters,hayes-roth,9.054021025345133
artificial-characters,heart-long-beach,9.244366805052657
artificial-characters,heart-switzerland,9.097442660645935
artificial-characters,helena,12.095061504369795
artificial-characters,indian_pines,11.791802396638044
artificial-characters,iris,10.069415456268741
artificial-characters,jannis,12.106359489651098
artificial-characters,japanesevowels,10.306465066129833
artificial-characters,jungle_chess_2pcs_endgame_panther_elephant,9.586390060561321
artificial-characters,jungle_chess_2pcs_raw_endgame_complete,11.458818816576496
artificial-characters,leaf,10.313755984676973
artificial-characters,led-display-domain-7digit,10.212257329321634
artificial-characters,mfeat-factors,9.136354059850728
artificial-characters,mfeat-fourier,8.799294723335404
artificial-characters,mfeat-karhunen,9.173768899290586
artificial-characters,mfeat-morphological,9.232176569091221
artificial-characters,mfeat-pixel,9.537028726417086
artificial-characters,microaggregation2,11.429821100491633
artificial-characters,nursery,11.101005652610514
artificial-characters,page-blocks,10.204716803662462
artificial-characters,pokerhand,12.100369462607167
artificial-characters,popularkids,9.049835926583668
artificial-characters,prnn_fglass,8.7427414578494
artificial-characters,prnn_viruses,8.9246252640283
artificial-characters,rmftsa_sleepdata,8.93797117488877
artificial-characters,robot-failures-lp1,8.911065231793565
artificial-characters,robot-failures-lp5,9.081444468644097
artificial-characters,satimage,10.501121181418908
artificial-characters,seeds,9.351419314684131
artificial-characters,segment,9.04727376207052
artificial-characters,seismic-bumps,9.351419314684131
artificial-characters,semeion,9.044144316704962
artificial-characters,shuttle,12.099614408587389
artificial-characters,spectrometer,9.651041157638568
artificial-characters,steel-plates-fault,9.44260448299332
artificial-characters,synthetic_control,9.853460920171228
artificial-characters,tae,9.273797498812703
artificial-characters,tamilnadu-electricity,11.899483485673477
artificial-characters,teachingassistant,9.15460048326665
artificial-characters,thyroid-allbp,9.540309687503566
artificial-characters,thyroid-allhyper,9.540309687503566
artificial-characters,user-knowledge,9.0757732157483
artificial-characters,vehicle,9.094613759106101
artificial-characters,vertebra-column,9.23833740145835
artificial-characters,volcanoes-a1,9.13410854993737
artificial-characters,volcanoes-a3,8.882115628771135
artificial-characters,volcanoes-a4,8.861005456826938
artificial-characters,volcanoes-d1,12.10109156298735
artificial-characters,wall-robot-navigation,8.707168041229776
artificial-characters,waveform-5000,11.341398756383803
artificial-characters,wine-quality-white,10.654205144643283
artificial-characters,wine,9.029440808869893
artificial-characters,zoo,9.990980826199582
balance-scale,abalone,4.582157706382529
balance-scale,artificial-characters,9.065826168977413
balance-scale,balance-scale,0.0
balance-scale,breast-tissue,2.423561994968726
balance-scale,car,3.4437362402377656
balance-scale,cardiotocography,5.878246464658659
balance-scale,cmc,4.958953026181904
balance-scale,cnae-9,7.686118428032272
balance-scale,collins,6.854751829614623
balance-scale,covertype,9.113123177389468
balance-scale,desharnais,3.133078738693861
balance-scale,diggle_table_a2,4.533019515504714
balance-scale,ecoli,5.528882719623586
balance-scale,energy-efficiency,7.492879620707982
balance-scale,eye_movements,8.848906370849008
balance-scale,fabert,8.902602687249596
balance-scale,fars,9.062075090124257
balance-scale,fashion-mnist,9.123810278567078
balance-scale,gas-drift-different-concentrations,6.475994354092845
balance-scale,gas-drift,6.473447084917594
balance-scale,gina_prior2,7.331181469641224
balance-scale,glass,3.087374894851736
balance-scale,har,8.106613998495565
balance-scale,hayes-roth,3.260025399190042
balance-scale,heart-long-beach,5.0588892258269995
balance-scale,heart-switzerland,4.508931462784218
balance-scale,helena,9.111371979339518
balance-scale,indian_pines,8.453699565552288
balance-scale,iris,4.802734858605831
balance-scale,jannis,9.1141309397565
balance-scale,japanesevowels,4.620400619321868
balance-scale,jungle_chess_2pcs_endgame_panther_elephant,5.926976503491666
balance-scale,jungle_chess_2pcs_raw_endgame_complete,8.382565626618806
balance-scale,leaf,7.002873802054594
balance-scale,led-display-domain-7digit,4.690871730184524
balance-scale,mfeat-factors,3.722509539669014
balance-scale,mfeat-fourier,3.002426768576495
balance-scale,mfeat-karhunen,2.740828608380283
balance-scale,mfeat-morphological,4.284017905074445
balance-scale,mfeat-pixel,5.478970008034559
balance-scale,microaggregation2,8.08615116393838
balance-scale,nursery,7.5647569086903745
balance-scale,page-blocks,5.9247999549679875
balance-scale,pokerhand,9.11284487458509
balance-scale,popularkids,3.7343950030929505
balance-scale,prnn_fglass,3.0873748948517568
